URL,Size,OutLinks,Type
https://www.yahoo.com/news/ten-years-ago-washington-put-politics-aside-save-economy-happen-today-090043249.html,555192,90,text/html
https://www.yahoo.com/news/tight-race-cruz-gets-help-junior-varsity-191235685.html,378084,74,text/html
https://www.yahoo.com/news/nationwide-anti-kavanaugh-protests-intensify-slideshow-wp-135038920.html,402002,70,text/html
https://www.yahoo.com/news/trump-pulling-u-s-paris-agreement-193701009.html,388521,100,text/html
https://www.yahoo.com/news/human-tower-competition-catalonia-slideshow-wp-132247861/photo-p-members-castellers-villafranca-try-photo-132247373.html,362571,66,text/html
https://www.yahoo.com/news/topics/kellyanne-conway,164364,61,text/html
https://www.yahoo.com/news/extreme-heat-wave-grips-japan-slideshow-wp-152921245/photo-p-thermometer-reads-41-0-photo-152921197.html,349373,67,text/html
https://www.yahoo.com/news/months-giant-immigration-raid-scars-still-raw-one-tennessee-town-090029045.html,483401,93,text/html
https://www.yahoo.com/news/gunman-opens-fire-toronto-street-slideshow-wp-110806884.html,373268,64,text/html
https://www.yahoo.com/news/tagged/signal_to_noise,336275,81,text/html
https://www.yahoo.com/news/23-best-cupcakes-thanksgiving-162711382/photo-p-turn-everyones-rel-nofollow-photo-175410865.html,376841,67,text/html
https://www.yahoo.com/news/17-great-holiday-gifts-men-153729208/photo-p-strong-grillart-strong-p-photo-203407405.html,386660,67,text/html
https://www.yahoo.com/news/21-healthy-dinner-ideas-under-165605301/photo-p-light-carbs-too-spaghetti-photo-201916248.html,404620,67,text/html
https://www.yahoo.com/news/30-cool-tiny-tattoo-ideas-194544770/photo-p-halsey-well-over-20-photo-161410473.html,377595,66,text/html
https://www.yahoo.com/news/25-homemade-food-gifts-holidays-154357058/photo-p-delicious-gift-filled-ginger-photo-180411424.html,396704,66,text/html
https://www.yahoo.com/news/heres-know-multivitamins-191342397/photo-p-strong-nature-made-strong-photo-230912442.html,349314,69,text/html
https://www.yahoo.com/news/heres-know-multivitamins-191342397/photo-p-struggle-rel-nofollow-href-photo-180908063.html,346125,67,text/html
https://www.yahoo.com/news/10-best-running-shoes-women-160437042/photo-p-strong-salomon-strong-p-photo-175909072.html,341615,67,text/html
https://www.yahoo.com/news/10-best-running-shoes-women-160437042/photo-p-head-rel-nofollow-href-photo-175909054.html,339704,67,text/html
https://www.yahoo.com/news/12-things-eyes-trying-tell-164056910/photo-p-eyes-suddenly-feel-dry-photo-175904001.html,359775,68,text/html
https://www.yahoo.com/news/12-things-eyes-trying-tell-164056910/photo-p-eyes-arent-just-window-photo-175904007.html,357384,65,text/html
https://www.yahoo.com/news/30-heart-healthy-dinner-recipes-171910332/photo-p-keep-light-flavorful-salad-photo-183911755.html,409011,68,text/html
https://www.yahoo.com/news/30-heart-healthy-dinner-recipes-171910332/photo-p-sometimes-long-day-sounds-photo-183911754.html,406287,64,text/html
https://www.yahoo.com/news/11-couples-fell-love-onscreen-183059496/photo-p-makes-sense-many-stars-photo-220512812.html,352078,63,text/html
https://www.yahoo.com/news/11-couples-fell-love-onscreen-183059496/photo-p-strong-show-strong-em-photo-220512703.html,353677,66,text/html
